context_id,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5,candidate_6,candidate_7,candidate_8,candidate_1_scores,candidate_2_scores,candidate_3_scores,candidate_4_scores,candidate_5_scores,candidate_6_scores,candidate_7_scores,candidate_8_scores
70,131,274,157,182,144,361,64,266,0.4,0.0,0.8,0.4,0.6,0.0,0.0,0.0
71,343,36,371,128,136,320,151,119,0.0,0.0,0.4,0.4,0.0,0.4,0.8,0.0
72,175,143,242,188,28,32,51,216,0.4,0.0,0.4,0.2,0.0,0.0,1.0,0.4
73,24,338,180,225,326,198,98,281,0.2,0.8,0.0,0.4,0.6,0.0,0.4,0.0
74,247,146,142,342,122,172,151,256,0.0,0.8,0.0,0.0,0.4,0.0,0.6,0.4
76,64,26,376,149,103,365,91,321,0.4,0.0,0.8,0.4,0.0,0.0,0.4,0.0
77,128,35,277,340,15,361,180,309,0.0,0.0,0.4,0.8,0.4,0.0,0.2,0.6
78,74,286,273,202,143,115,341,19,0.0,0.4,0.8,0.4,0.0,0.4,0.0,0.0
79,43,89,26,145,118,14,50,335,0.2,0.0,0.0,0.8,0.6,0.0,0.4,0.4
80,333,107,232,156,17,163,319,227,0.8,0.2,0.0,0.0,0.6,0.4,0.0,0.4
81,390,372,160,13,222,250,198,273,0.0,0.4,0.4,0.0,0.8,0.2,0.6,0.2
82,155,37,48,200,265,105,371,36,0.6,0.6,0.0,0.6,0.8,0.0,0.0,0.0
83,309,42,264,242,347,41,285,160,0.4,0.4,0.6,0.0,0.0,0.8,0.0,0.0
84,287,233,213,78,368,162,43,106,0.0,0.6,0.0,0.4,0.0,0.2,0.6,0.8
85,89,316,86,283,119,76,142,208,0.0,0.0,0.2,0.8,0.4,0.4,0.4,0.0
86,384,337,5,12,158,192,100,138,0.8,0.0,0.0,0.0,0.0,0.4,0.4,0.4
87,331,84,175,357,164,309,280,38,0.6,0.0,0.4,0.0,0.0,0.8,0.6,0.0
88,143,53,57,89,151,330,345,236,0.2,0.8,0.2,0.4,0.6,0.0,0.0,0.4
89,296,197,160,33,50,82,300,84,0.4,0.0,0.0,0.6,0.0,0.4,0.8,0.0
90,241,261,139,356,205,6,351,272,0.4,0.4,0.0,0.8,0.4,0.0,0.2,0.0
91,245,116,328,63,303,202,223,57,0.2,0.0,0.0,0.4,0.8,0.4,0.0,0.6
92,232,293,319,53,309,191,99,179,0.0,0.4,0.0,0.8,0.0,0.0,0.6,0.4
93,328,104,89,114,206,339,141,78,0.4,0.8,0.0,0.6,0.0,0.0,0.6,0.0
94,162,327,277,338,244,35,157,280,0.4,0.6,0.0,0.2,0.2,0.0,0.8,0.4
95,235,272,157,369,44,223,300,86,0.0,0.0,0.6,1.0,0.4,0.0,0.0,0.4
96,96,32,75,379,223,369,202,370,0.4,0.0,0.8,0.6,0.0,0.2,0.4,0.2
97,52,257,293,79,204,170,151,216,0.0,0.6,0.2,0.0,0.4,0.2,0.4,0.8
98,182,50,266,355,201,327,141,351,0.0,0.0,0.8,0.6,0.2,0.6,0.4,0.0
99,173,57,62,357,314,376,340,17,0.4,0.6,0.6,0.0,0.0,0.8,0.0,0.2
100,23,195,248,322,273,96,100,257,0.0,0.0,0.4,0.0,0.4,0.8,0.2,0.4
101,130,326,317,49,61,46,304,248,0.4,0.0,0.4,0.8,0.0,0.2,0.4,0.0
102,122,201,7,373,96,139,121,243,0.2,0.4,1.0,0.4,0.2,0.0,0.4,0.2
103,376,9,142,318,320,63,155,177,0.0,1.0,0.4,0.2,0.6,0.4,0.2,0.0
104,102,54,171,91,182,210,158,208,0.4,0.4,0.0,0.2,0.8,0.0,0.4,0.0
105,121,161,155,67,393,107,190,326,0.8,0.0,0.6,0.0,0.0,0.4,0.0,0.6
106,359,220,282,59,91,138,88,330,0.6,0.6,0.0,0.8,0.4,0.0,0.0,0.0
107,43,280,1,127,286,293,102,244,0.8,0.4,0.0,0.4,0.2,0.4,0.0,0.0
108,217,372,235,199,257,275,219,170,0.0,0.4,0.0,0.0,0.4,0.2,0.6,0.8
109,323,74,15,133,59,277,221,359,0.0,0.0,0.6,0.6,0.8,0.4,0.2,0.0
110,171,9,337,170,306,102,202,123,0.0,0.4,0.4,1.0,0.0,0.0,0.4,0.0
111,254,13,383,217,207,171,346,194,0.0,0.8,0.6,0.0,0.0,0.6,0.2,0.6
112,77,244,60,234,248,388,370,326,0.0,0.4,0.0,0.0,0.4,0.0,0.4,1.0
113,8,195,54,68,393,298,264,204,0.2,0.4,0.2,0.4,0.0,0.0,0.8,0.6
114,153,170,78,53,216,39,212,231,0.4,0.0,0.6,0.4,0.2,0.8,0.2,0.0
115,239,256,161,332,131,60,333,296,0.4,0.4,0.0,0.6,0.0,0.8,0.0,0.2
116,182,228,150,293,282,155,32,128,0.4,0.0,0.0,0.4,0.0,0.4,0.0,0.8
117,360,252,150,96,67,176,142,375,0.8,0.0,0.4,0.4,0.0,0.0,0.6,0.0
118,37,53,393,259,381,133,32,36,0.6,0.4,0.0,0.8,0.0,0.2,0.4,0.0
119,219,267,263,246,243,199,283,372,0.4,0.0,0.2,1.0,0.0,0.2,0.4,0.6
120,175,108,226,177,290,348,274,194,0.0,0.0,0.4,0.0,0.0,0.8,0.6,0.4
121,114,252,276,394,238,397,311,271,0.4,0.8,0.6,0.0,0.0,0.0,0.4,0.2
122,345,50,8,126,360,287,42,227,0.4,0.0,0.4,0.0,0.0,0.6,0.0,0.8
123,66,331,346,283,215,58,86,127,0.0,0.6,0.0,0.4,0.0,0.8,0.6,0.0
124,58,61,226,110,338,280,74,334,0.8,0.0,0.4,0.6,0.6,0.0,0.0,0.0
125,148,367,364,128,53,114,192,239,0.2,0.0,0.4,0.6,0.0,0.6,0.0,0.8
126,326,94,125,43,366,62,107,7,0.8,0.0,0.0,0.6,0.0,0.4,0.6,0.0
127,319,325,115,292,396,318,145,128,0.4,0.2,0.0,0.0,0.4,0.8,0.2,0.6
128,326,31,180,164,186,143,391,26,0.8,0.6,0.0,0.4,0.2,0.4,0.0,0.0
129,17,215,325,216,227,367,111,185,0.6,0.0,0.4,0.8,0.0,0.2,0.4,0.2
130,296,311,231,243,205,249,363,86,0.2,0.0,0.0,0.4,0.2,0.6,0.4,1.0
132,81,202,283,242,36,287,147,4,0.4,0.8,0.4,0.0,0.0,0.4,0.0,0.0
133,232,331,226,234,180,240,136,300,0.6,0.8,0.2,0.0,0.6,0.4,0.0,0.2
134,232,167,241,20,159,379,253,278,0.0,0.0,0.6,0.4,0.4,0.0,0.0,0.8
135,181,114,308,217,70,93,117,81,0.2,0.4,0.0,0.0,0.8,0.4,0.4,0.0
136,325,192,268,234,112,188,228,95,0.4,0.8,0.0,0.4,0.2,0.0,0.0,0.4
138,46,347,148,214,79,256,266,351,0.0,0.4,0.6,0.8,0.2,0.6,0.0,0.0
139,299,7,252,331,175,136,146,165,0.0,0.6,0.0,0.4,0.0,0.0,0.8,0.4
140,306,196,182,63,374,229,213,201,0.2,0.4,0.4,0.6,0.0,0.0,0.8,0.0
141,367,254,372,234,106,281,181,196,0.0,0.4,0.0,0.0,0.0,0.4,0.8,0.4
142,128,94,55,137,104,16,166,296,0.4,0.0,0.0,0.8,0.4,0.2,0.0,0.4
143,308,241,126,20,145,256,103,43,0.4,0.2,0.6,0.8,0.0,0.2,0.2,0.4
144,29,119,261,320,256,116,193,312,0.8,0.0,0.0,0.4,0.2,0.4,0.4,0.0
145,224,16,41,112,99,3,334,362,0.8,0.4,0.0,0.0,0.4,0.0,0.6,0.0
146,2,267,165,318,104,157,98,59,0.2,0.2,0.8,0.0,0.0,0.4,0.4,0.4
147,76,148,132,365,388,135,79,229,0.6,0.4,0.4,0.8,0.0,0.0,0.0,0.0
148,389,127,110,358,340,193,90,151,0.0,0.8,0.4,0.6,0.2,0.0,0.0,0.4
149,335,293,334,241,286,116,86,115,0.4,0.8,0.2,0.4,0.2,0.0,0.4,0.0
150,258,307,348,65,364,330,79,332,0.4,0.6,0.8,0.0,0.0,0.2,0.0,0.4
151,218,124,96,134,104,327,181,189,0.0,0.4,0.0,0.0,0.4,0.4,0.8,0.0
152,205,281,249,280,93,162,359,393,0.6,0.0,0.0,0.4,0.8,0.2,0.4,0.0
153,83,217,310,101,29,85,240,327,0.0,0.8,0.4,0.2,0.0,0.2,0.6,0.4
154,326,324,320,389,369,115,55,36,0.2,0.0,0.4,0.4,0.8,0.2,0.4,0.0
155,180,111,154,300,17,163,365,84,0.4,0.0,0.4,0.0,0.8,0.4,0.2,0.0
156,6,122,38,147,33,47,347,216,0.8,0.0,0.4,0.0,0.4,0.0,0.0,0.4
157,124,8,236,115,93,231,257,95,0.0,0.6,0.6,0.0,0.2,0.8,0.4,0.0
158,286,54,194,284,227,214,328,32,0.2,0.8,0.4,0.0,0.4,0.4,0.2,0.0
159,378,46,225,238,175,207,105,353,0.0,0.6,0.4,0.0,0.0,0.0,0.8,0.6
160,363,12,62,340,317,242,121,86,0.6,0.0,0.2,0.8,0.2,0.4,0.0,0.6
161,7,152,193,270,311,170,216,169,0.0,0.6,0.0,0.0,0.2,0.4,1.0,0.4
162,13,223,82,113,249,394,78,235,0.0,0.8,0.4,0.4,0.4,0.0,0.0,0.0
163,204,249,164,27,147,125,279,351,0.2,0.4,0.0,0.8,0.0,0.0,0.4,0.4
164,8,64,32,93,138,394,116,237,0.0,0.4,0.6,0.6,0.0,0.0,0.8,0.0
165,66,161,373,398,310,103,277,137,0.0,0.0,0.4,0.0,0.8,0.4,0.4,0.0
166,243,87,221,51,114,209,227,68,0.0,0.0,0.0,0.8,0.4,0.0,0.4,0.4
167,0,107,46,184,318,338,314,174,0.4,0.2,0.0,0.0,0.6,0.8,0.2,0.4
168,342,279,60,57,324,199,150,80,0.0,0.4,0.4,0.2,0.0,0.2,0.8,0.4
169,154,283,202,190,365,350,30,352,1.0,0.6,0.4,0.0,0.2,0.4,0.0,0.2
170,126,22,154,334,104,30,63,223,0.0,0.2,0.6,0.6,0.8,0.0,0.4,0.0
171,252,73,211,82,359,378,357,210,0.0,0.4,0.0,0.8,0.4,0.4,0.0,0.0
172,57,389,262,65,211,102,269,322,0.0,0.6,0.0,0.0,0.0,0.6,0.8,0.4
173,208,264,194,128,115,287,252,73,0.0,0.4,0.8,0.0,0.0,0.6,0.0,0.6
174,105,254,331,129,6,179,236,1,0.0,0.2,0.4,0.0,0.4,0.4,0.8,0.0
175,323,26,11,53,72,172,151,64,0.0,0.8,0.6,0.2,0.4,0.2,0.0,0.4
176,90,174,204,59,112,246,265,271,0.0,0.4,0.0,0.8,0.0,0.0,0.4,0.4
177,212,129,150,381,356,95,383,204,0.0,0.0,0.8,0.0,0.4,0.0,0.4,0.4
178,279,369,217,77,226,271,128,296,0.0,0.2,0.0,0.4,0.4,0.4,0.2,0.8
179,142,315,363,294,396,323,160,387,0.4,0.4,0.0,0.0,0.8,0.0,0.0,0.6
180,317,96,29,370,365,216,65,143,0.2,0.4,0.0,0.4,0.0,0.4,0.8,0.2
181,273,147,29,372,305,152,245,309,0.8,0.0,0.0,0.6,0.0,0.2,0.4,0.4
182,170,73,308,188,379,135,151,334,0.2,0.4,0.8,0.0,0.0,0.0,0.4,0.4
183,239,145,330,165,84,374,226,106,0.6,0.2,0.4,0.0,0.0,0.0,0.8,0.4
184,246,77,230,316,356,244,55,177,0.0,0.4,0.0,0.0,0.4,0.8,0.6,0.0
185,235,163,360,265,20,127,367,12,0.0,0.4,0.4,0.0,0.8,0.2,0.0,0.4
186,367,386,210,234,271,7,73,22,0.4,0.8,0.0,0.0,0.6,0.2,0.2,0.4
187,109,361,382,231,300,262,165,327,1.0,0.6,0.0,0.0,0.4,0.0,0.0,0.4
188,59,396,55,147,315,61,358,309,0.2,0.4,0.4,0.0,0.6,0.2,0.8,0.2
189,6,262,120,335,341,309,16,106,0.0,0.0,0.2,0.4,0.4,0.6,0.8,0.2
190,130,112,193,270,342,23,24,167,0.8,0.0,0.4,0.0,0.4,0.4,0.0,0.0
191,66,157,212,263,204,222,158,57,0.4,0.6,0.2,0.4,0.0,0.0,0.0,0.8
192,362,267,209,61,296,373,205,78,0.0,0.4,0.0,0.4,0.8,0.2,0.6,0.0
193,95,189,165,255,126,365,353,314,0.6,0.2,0.0,0.4,0.8,0.4,0.2,0.0
194,107,213,43,82,146,132,7,97,0.0,0.0,0.6,0.4,0.2,0.2,0.8,0.4
195,267,48,241,104,243,7,135,177,0.6,1.0,0.4,0.6,0.0,0.0,0.0,0.0
196,227,395,215,164,269,376,246,118,0.4,0.2,0.0,0.8,0.6,0.4,0.2,0.0
198,310,334,135,325,225,3,338,242,0.0,0.4,0.4,0.4,0.2,0.0,0.2,1.0
199,197,163,317,214,60,154,26,143,0.2,0.0,0.2,0.8,0.4,0.6,0.2,0.4
200,42,344,154,148,263,378,351,67,0.8,0.0,0.0,0.4,0.4,0.0,0.4,0.0
201,13,195,263,18,200,143,178,287,0.0,0.0,0.4,0.4,0.0,0.2,0.4,0.8
202,129,273,242,220,302,40,310,121,0.0,0.4,0.8,0.6,0.0,0.4,0.0,0.0
203,190,143,333,117,374,282,357,54,0.0,0.6,0.0,0.4,0.0,0.0,1.0,0.4
204,329,7,16,116,42,58,202,52,0.0,0.0,0.4,0.4,0.4,0.0,0.8,0.0
205,146,267,354,76,172,207,158,233,0.0,0.4,0.0,0.4,0.0,0.0,0.8,0.6
206,284,287,354,156,248,392,36,93,0.4,0.0,0.0,0.4,0.8,0.0,0.2,0.4
207,300,141,117,59,23,294,107,329,0.4,0.8,0.4,0.2,0.0,0.0,0.4,0.0
208,263,49,283,359,141,279,235,136,0.4,0.2,0.8,0.4,0.6,0.2,0.0,0.0
209,158,104,130,232,103,371,236,333,0.4,0.6,0.0,0.0,0.2,0.8,0.4,0.0
210,242,58,374,33,19,244,264,360,0.0,0.8,0.0,0.4,0.0,0.4,0.4,0.0
211,317,171,352,252,20,302,19,255,0.4,0.4,0.2,1.0,0.2,0.2,0.4,0.2
212,160,276,322,124,108,169,2,256,0.4,0.2,0.4,0.8,0.0,0.0,0.2,0.4
213,28,398,83,309,117,26,209,18,0.6,0.0,0.8,0.2,0.6,0.0,0.0,0.6
214,73,169,254,128,258,38,118,340,0.4,0.8,0.4,0.0,0.6,0.0,0.2,0.0
215,172,190,149,286,159,161,233,163,0.0,0.0,0.0,0.2,0.4,0.4,0.8,0.4
216,124,370,51,182,49,46,235,65,0.0,0.0,0.6,0.4,0.0,0.0,0.8,0.6
217,234,86,222,189,117,116,235,211,0.0,0.8,0.4,0.2,0.6,0.2,0.0,0.4
218,165,27,214,56,293,113,153,359,0.6,0.0,0.2,0.8,0.0,0.0,0.4,0.4
219,372,122,225,277,343,184,274,43,0.2,0.6,0.8,0.0,0.2,0.0,0.6,0.4
220,105,186,98,328,103,347,267,314,0.0,0.0,0.8,0.4,0.2,0.4,0.2,0.4
221,18,300,16,236,41,10,345,113,0.6,0.2,0.8,0.2,0.2,0.6,0.4,0.0
222,237,382,275,212,230,216,68,174,0.0,0.4,0.0,0.4,0.0,0.8,0.6,0.0
223,22,240,173,108,284,285,160,37,0.0,0.6,0.0,0.0,0.4,0.2,0.8,0.4
224,5,127,65,384,287,255,351,363,0.8,0.0,0.0,0.4,0.2,0.4,0.4,0.0
226,280,156,258,178,268,189,303,180,0.6,0.0,0.4,0.4,0.0,0.0,0.8,0.0
227,132,173,349,91,39,25,271,275,0.0,0.4,0.0,1.0,0.4,0.0,0.0,0.4
228,104,76,198,135,8,154,208,182,0.8,0.6,0.0,0.6,0.4,0.0,0.0,0.2
229,28,393,66,34,329,188,155,290,0.8,0.0,0.2,0.2,0.0,0.6,0.4,0.6
230,269,57,110,95,177,263,21,78,0.4,0.2,0.4,0.8,0.0,0.4,0.0,0.0
231,165,254,76,111,162,17,127,109,0.4,0.0,0.0,0.4,0.4,0.8,0.0,0.2
232,211,16,165,42,43,276,223,37,0.0,0.6,0.0,0.0,0.4,0.8,0.0,0.4
233,139,69,345,340,299,18,52,376,0.0,0.0,0.2,0.8,0.0,0.4,0.4,0.4
234,282,370,159,85,352,371,199,398,0.0,0.4,0.4,0.8,0.4,0.2,0.0,0.0
235,261,103,32,114,308,17,335,338,0.0,0.4,0.0,0.0,0.4,0.4,0.8,0.0
236,215,199,82,165,231,293,170,7,0.0,0.6,0.0,0.6,0.0,0.8,0.4,0.0
237,271,151,22,251,224,342,369,149,0.2,0.0,0.8,0.0,0.4,0.6,0.0,0.6
238,131,259,174,75,73,234,364,375,0.2,0.6,0.0,0.4,0.8,0.0,0.4,0.0
239,157,338,21,395,306,250,318,256,0.4,0.8,0.0,0.6,0.0,0.0,0.0,0.4
240,159,337,179,383,80,339,395,356,0.6,0.4,0.4,0.0,0.8,0.0,0.0,0.2
241,104,386,191,257,198,16,238,183,0.2,0.0,0.0,0.0,0.4,0.8,0.4,0.4
242,152,33,53,292,87,395,9,188,0.0,0.8,0.6,0.0,0.4,0.0,0.0,0.4
243,104,209,389,269,149,142,187,51,0.0,0.8,0.0,0.4,0.0,0.4,0.0,0.4
244,8,192,97,365,233,312,120,155,0.4,0.0,0.0,0.6,0.0,0.4,0.8,0.0
245,385,126,138,86,285,359,103,52,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.8
249,263,46,124,62,37,95,240,328,0.4,0.0,0.0,1.0,0.4,0.0,0.6,0.0
