context_id,candidate_1,candidate_2,candidate_3,candidate_4,candidate_1_scores,candidate_2_scores,candidate_3_scores,candidate_4_scores
138,112,392,360,90,0.4,0.2,0.8,0.0
139,5,93,346,334,0.8,0.2,0.4,0.2
140,200,232,213,140,0.6,0.2,0.8,0.0
141,287,30,108,55,0.2,0.6,0.2,0.8
142,7,90,196,327,1.0,0.2,0.4,0.2
143,19,53,12,305,0.8,0.0,0.4,0.2
144,0,15,135,306,0.0,0.8,0.6,0.2
145,282,224,238,258,0.0,0.8,0.4,0.0
146,310,337,384,165,0.4,0.2,0.2,0.8
147,341,0,254,361,0.8,0.6,0.2,0.0
148,367,127,307,97,0.4,0.8,0.0,0.0
149,381,20,236,128,0.0,0.8,0.6,0.2
150,294,234,171,110,0.0,0.0,0.8,0.4
151,204,315,343,369,0.2,0.8,0.4,0.2
152,289,67,109,93,0.2,0.2,0.4,0.8
153,107,42,35,165,0.2,0.6,0.0,0.8
154,181,53,149,321,0.2,0.4,0.8,0.2
155,293,110,155,78,0.2,0.8,0.0,0.4
156,88,24,221,339,0.0,0.2,0.4,0.8
157,380,228,118,254,0.0,0.8,0.0,0.4
158,223,25,340,13,0.2,0.0,0.4,0.8
159,188,384,126,86,0.2,0.8,0.2,0.4
160,295,161,227,348,0.4,0.8,0.2,0.2
161,187,251,182,216,0.4,0.2,0.2,1.0
162,215,177,191,229,0.8,0.0,0.4,0.2
163,191,328,294,348,0.6,0.2,0.2,0.8
164,260,275,138,303,0.0,0.8,0.4,0.2
165,306,195,100,103,0.0,0.8,0.2,0.4
166,7,355,358,164,0.0,0.4,0.2,0.8
167,254,110,151,267,0.4,0.8,0.2,0.0
168,317,256,343,283,0.2,0.6,0.0,0.8
169,227,240,105,223,0.4,0.0,0.8,0.0
170,196,280,105,130,0.2,0.4,0.8,0.2
171,296,92,7,314,0.6,0.0,0.2,0.8
172,354,57,329,48,0.6,0.8,0.0,0.2
173,393,346,82,227,1.0,0.6,0.0,0.0
174,395,97,54,327,1.0,0.0,0.6,0.2
175,162,137,74,210,0.0,0.0,0.4,1.0
176,178,14,91,190,0.6,0.0,0.2,0.8
177,62,337,79,258,0.6,0.2,0.2,0.8
178,314,296,5,159,0.4,0.8,0.0,0.0
179,213,282,58,355,0.0,0.4,0.8,0.2
180,151,8,126,117,1.0,0.2,0.2,0.4
181,168,277,124,379,0.4,0.2,0.8,0.2
182,384,292,240,375,0.2,0.0,0.8,0.4
183,56,49,12,271,0.4,0.8,0.2,0.0
184,125,277,101,342,0.0,0.4,0.2,0.8
185,200,4,61,342,0.2,0.8,0.6,0.2
186,156,353,30,323,0.2,0.8,0.2,0.4
187,299,306,235,176,0.4,0.8,0.2,0.2
188,358,228,142,114,0.8,0.2,0.4,0.2
189,11,148,113,306,0.2,0.4,0.2,0.8
190,273,130,335,52,0.4,0.8,0.2,0.2
191,190,361,292,110,0.2,0.4,0.8,0.0
192,157,97,184,233,0.2,0.2,0.4,0.8
193,85,380,126,301,0.0,0.4,0.8,0.2
194,386,164,358,106,0.0,0.2,1.0,0.4
195,307,53,255,356,0.2,0.4,0.2,0.8
196,204,11,327,106,0.2,0.2,0.8,0.4
197,19,382,260,118,0.8,0.4,0.0,0.2
198,104,314,360,376,0.4,0.8,0.2,0.2
199,310,300,249,281,0.2,0.2,0.6,0.8
200,203,44,390,96,0.0,0.2,0.6,0.8
201,121,396,127,74,0.6,0.2,0.2,0.8
202,103,33,339,311,0.8,0.0,0.2,0.4
203,268,372,224,35,0.2,1.0,0.4,0.2
204,364,169,205,35,0.4,0.8,0.2,0.2
205,101,292,55,259,0.4,0.2,0.2,0.8
206,83,209,171,265,0.8,0.0,0.4,0.2
207,365,59,232,264,0.6,0.2,0.8,0.2
208,250,13,379,168,0.8,0.2,0.4,0.2
209,0,395,327,396,0.4,0.8,0.2,0.0
210,260,19,372,168,0.0,0.8,0.4,0.0
211,168,25,87,30,0.0,0.8,0.4,0.2
212,394,124,348,242,0.2,0.8,0.2,0.4
213,251,273,17,248,0.0,0.2,0.4,0.8
214,183,169,394,179,0.2,0.8,0.4,0.2
215,292,79,119,187,0.2,0.6,0.2,0.8
216,374,383,126,98,0.0,0.0,0.6,0.8
217,86,106,331,364,0.8,0.6,0.2,0.2
218,138,184,39,203,0.4,0.2,0.8,0.0
219,203,248,225,346,0.2,0.4,0.8,0.2
220,215,226,98,313,0.4,0.2,0.8,0.0
221,51,80,16,341,0.4,0.0,0.8,0.0
222,77,216,76,144,0.2,0.8,0.2,0.4
223,372,378,112,302,0.8,0.2,0.4,0.2
224,337,266,51,197,0.4,0.2,0.8,0.0
225,21,40,246,135,0.4,0.0,0.2,0.8
226,104,99,199,238,0.8,0.4,0.0,0.2
227,61,377,318,56,0.2,0.8,0.4,0.2
228,11,193,366,144,0.2,0.2,0.4,0.8
229,384,239,329,215,0.2,0.8,0.4,0.2
230,132,5,213,234,0.2,0.8,0.4,0.0
231,263,295,70,40,0.2,0.6,0.8,0.0
232,276,23,300,246,0.8,0.0,0.4,0.0
233,92,245,362,186,0.0,0.2,0.8,0.4
234,7,289,176,18,0.8,0.6,0.2,0.2
235,335,328,133,53,0.8,0.6,0.2,0.2
236,272,25,363,168,0.2,0.8,0.4,0.2
237,263,143,210,253,0.2,0.2,0.8,0.4
238,273,105,36,382,0.0,0.4,0.8,0.0
239,254,153,145,267,0.0,0.2,0.6,0.8
240,247,273,35,66,0.4,0.2,0.2,1.0
241,368,7,361,141,0.2,0.8,0.2,0.6
242,397,193,125,273,0.6,0.2,0.0,0.8
243,250,163,142,259,0.0,0.8,0.4,0.2
244,66,242,212,44,0.4,0.8,0.2,0.2
245,96,270,219,131,0.8,0.2,0.4,0.2
246,145,86,101,160,0.4,0.8,0.2,0.2
247,116,11,51,127,0.8,0.4,0.2,0.2
248,283,357,97,5,1.0,0.2,0.4,0.0
249,209,45,134,62,0.0,0.2,0.4,1.0
